transaction_amount,transaction_frequency,avg_transaction_size,num_counterparties,cross_border_ratio,cash_ratio,night_transaction_ratio,round_amount_ratio,account_age_months,num_accounts_linked,transaction_type,origin_country,account_type,industry,structuring_flag,rapid_movement_flag,dormant_reactivation,pep_connection,prior_sar_flag,geographic_dispersion,risk_label,timestamp
7039.021349652887,51,442.1764283487158,9,0.10246959386463932,0.38147907775876716,0.19887129782890325,0.19450498968318206,63,1,transfer,Unknown,investment,finance,0,1,1,0,0,2,suspicious,2023-05-25 00:00:00
45151.82146376282,57,8853.727902760169,41,0.14249870539349824,0.31087201205299675,0.18653231841109782,0.02655972958071931,17,7,exchange,Jordan,personal,retail,0,0,0,0,0,9,clean,2023-11-08 13:00:00
19751.185403181742,37,2104.2271340956186,18,0.1455360437230922,0.4484283186190939,0.05024111238530361,0.03478469313296199,36,8,withdrawal,UAE,charity,finance,0,0,0,0,0,9,clean,2023-08-07 06:00:00
13694.1383066393,8,2233.174158584534,29,0.30623653769709575,0.2609656654755728,0.050190969648512926,0.2597648909704132,19,2,transfer,Offshore,personal,retail,1,0,0,0,0,16,suspicious,2023-07-07 15:00:00
2544.373056935194,7,2922.810269204622,39,0.2968453133705178,0.2053974707852865,0.028475719162149353,0.16290520172548276,5,4,payment,Iran,personal,finance,0,0,0,0,0,8,suspicious,2023-04-20 16:00:00
2543.9443787190776,14,526.4245787857806,27,0.25498084245918684,0.5699352276837383,0.14885603827275784,0.029873861245051325,23,2,withdrawal,Offshore,charity,unknown,0,0,0,0,0,5,clean,2023-08-23 13:00:00
897.5815291302101,56,1559.6286314994588,36,0.3689786626996466,0.6014474406116745,0.12663939124755544,0.1375203657264708,108,13,payment,Russia,business,NGO,0,0,0,0,1,10,high_risk,2023-05-09 09:00:00
30168.46296719909,55,100.0,45,0.09950511311096245,0.18492035989333136,0.19403380336924186,0.3259847821806525,19,14,transfer,Saudi Arabia,investment,construction,0,0,0,0,0,6,clean,2023-08-15 21:00:00
13786.232304408968,3,4716.202507730968,17,0.1367668398832889,0.691492369382922,0.23814406392192786,0.1720180755442999,1,6,deposit,Unknown,business,unknown,0,1,0,0,0,4,suspicious,2023-02-13 02:00:00
18468.750925568853,50,704.1419958940097,34,0.06880165709924974,0.21071209104297103,0.10275236869302369,0.003620817757379031,27,5,payment,Iran,personal,real_estate,0,1,0,0,0,1,suspicious,2023-06-19 10:00:00
311.9896199870793,16,9182.065776040916,46,0.28864324066537744,0.365240680515043,0.21558930340289154,0.19069219968737083,43,11,payment,Russia,business,construction,0,1,0,0,0,9,suspicious,2023-08-01 06:00:00
52553.36212737468,55,2149.5516907849315,3,0.036823532537390305,0.46173656603534535,0.07788948064721705,0.22468561179420246,25,11,withdrawal,Iran,personal,unknown,0,1,0,0,0,8,suspicious,2023-03-21 20:00:00
26796.443150320127,19,22998.622291492924,5,0.3598319895039463,0.24035305341040822,0.015287627758350887,0.20843389408230878,54,5,exchange,Unknown,personal,retail,1,0,0,0,0,3,suspicious,2023-11-18 04:00:00
3580.3143787342046,51,16399.16303606169,14,0.2454526047718947,0.32797815963415383,0.029398497337735936,0.3169574857965009,6,12,deposit,Iran,charity,construction,1,0,0,0,0,1,suspicious,2023-07-27 06:00:00
3010.1848312449506,18,2733.6251757145037,3,0.4667269078428315,0.14877663330444954,0.2889812099359423,0.12118612236183764,100,14,withdrawal,Iran,charity,retail,0,0,0,0,0,13,suspicious,2023-05-15 13:00:00
3039.171342483856,52,12230.810378194788,23,0.4848976836619624,0.28314182374255065,0.005657197790205868,0.16220577463464086,81,8,withdrawal,Saudi Arabia,business,unknown,0,0,0,0,1,18,suspicious,2023-08-13 01:00:00
5441.305941907157,16,13006.363956075556,39,0.20728173763152624,0.18017954000806852,0.14104366200570334,0.030783651617898592,76,12,transfer,Iran,charity,construction,0,0,0,0,0,12,clean,2023-07-20 22:00:00
11158.917462912817,8,34478.013405408994,30,0.4906330004339166,0.38009431925656934,0.5019652880459162,0.02130177684497612,25,13,exchange,Offshore,personal,unknown,0,0,0,0,0,11,suspicious,2023-08-16 17:00:00
8483.05600170505,33,7287.241815109277,45,0.0803358637236154,0.6577197080413855,0.10903518529657504,0.18063906916946945,74,1,exchange,Iran,business,real_estate,0,0,0,0,1,15,high_risk,2023-02-06 20:00:00
5163.344888309122,49,684.1645036961554,23,0.34422726525803293,0.6852913436353288,0.1676912177833544,0.28880225547433935,119,10,deposit,Iran,charity,unknown,0,0,0,1,0,18,high_risk,2023-11-05 11:00:00
